periodoCompeticion,nombreCompeticion,teamId,coachId
2018 - 2019,Temporada,1610612737,1
2018 - 2019,Temporada,1610612738,2
2018 - 2019,Temporada,1610612751,3
2018 - 2019,Temporada,1610612741,4
2018 - 2019,Temporada,1610612741,5
2018 - 2019,Temporada,1610612766,6
2018 - 2019,Temporada,1610612739,7
2018 - 2019,Temporada,1610612739,8
2018 - 2019,Temporada,1610612742,9
2018 - 2019,Temporada,1610612743,10
2018 - 2019,Temporada,1610612765,11
2018 - 2019,Temporada,1610612744,12
2018 - 2019,Temporada,1610612745,13
2018 - 2019,Temporada,1610612754,14
2018 - 2019,Temporada,1610612746,15
2018 - 2019,Temporada,1610612747,16
2018 - 2019,Temporada,1610612763,17
2018 - 2019,Temporada,1610612748,18
2018 - 2019,Temporada,1610612749,19
2018 - 2019,Temporada,1610612750,20
2018 - 2019,Temporada,1610612750,21
2018 - 2019,Temporada,1610612740,22
2018 - 2019,Temporada,1610612752,23
2018 - 2019,Temporada,1610612760,24
2018 - 2019,Temporada,1610612753,25
2018 - 2019,Temporada,1610612755,26
2018 - 2019,Temporada,1610612756,27
2018 - 2019,Temporada,1610612757,28
2018 - 2019,Temporada,1610612758,29
2018 - 2019,Temporada,1610612759,30
2018 - 2019,Temporada,1610612761,31
2018 - 2019,Temporada,1610612762,32
2018 - 2019,Temporada,1610612764,33
2019 - 2020,Temporada,1610612737,1
2019 - 2020,Temporada,1610612738,2
2019 - 2020,Temporada,1610612751,3
2019 - 2020,Temporada,1610612751,34
2019 - 2020,Temporada,1610612741,5
2019 - 2020,Temporada,1610612766,6
2019 - 2020,Temporada,1610612739,35
2019 - 2020,Temporada,1610612739,17
2019 - 2020,Temporada,1610612742,9
2019 - 2020,Temporada,1610612743,10
2019 - 2020,Temporada,1610612765,11
2019 - 2020,Temporada,1610612744,12
2019 - 2020,Temporada,1610612745,13
2019 - 2020,Temporada,1610612754,14
2019 - 2020,Temporada,1610612746,15
2019 - 2020,Temporada,1610612747,36
2019 - 2020,Temporada,1610612763,37
2019 - 2020,Temporada,1610612748,18
2019 - 2020,Temporada,1610612749,19
2019 - 2020,Temporada,1610612750,21
2019 - 2020,Temporada,1610612740,22
2019 - 2020,Temporada,1610612752,23
2019 - 2020,Temporada,1610612752,38
2019 - 2020,Temporada,1610612760,24
2019 - 2020,Temporada,1610612753,25
2019 - 2020,Temporada,1610612755,26
2019 - 2020,Temporada,1610612756,39
2019 - 2020,Temporada,1610612757,28
2019 - 2020,Temporada,1610612758,16
2019 - 2020,Temporada,1610612759,30
2019 - 2020,Temporada,1610612761,31
2019 - 2020,Temporada,1610612762,32
2019 - 2020,Temporada,1610612764,33
2020 - 2021,Temporada,1610612737,1
2020 - 2021,Temporada,1610612737,14
2020 - 2021,Temporada,1610612738,2
2020 - 2021,Temporada,1610612751,40
2020 - 2021,Temporada,1610612741,24
2020 - 2021,Temporada,1610612766,6
2020 - 2021,Temporada,1610612739,17
2020 - 2021,Temporada,1610612742,9
2020 - 2021,Temporada,1610612743,10
2020 - 2021,Temporada,1610612765,11
2020 - 2021,Temporada,1610612744,12
2020 - 2021,Temporada,1610612745,41
2020 - 2021,Temporada,1610612754,42
2020 - 2021,Temporada,1610612746,7
2020 - 2021,Temporada,1610612747,36
2020 - 2021,Temporada,1610612763,37
2020 - 2021,Temporada,1610612748,18
2020 - 2021,Temporada,1610612749,19
2020 - 2021,Temporada,1610612750,21
2020 - 2021,Temporada,1610612750,43
2020 - 2021,Temporada,1610612740,44
2020 - 2021,Temporada,1610612752,20
2020 - 2021,Temporada,1610612760,45
2020 - 2021,Temporada,1610612753,25
2020 - 2021,Temporada,1610612755,15
2020 - 2021,Temporada,1610612756,39
2020 - 2021,Temporada,1610612757,28
2020 - 2021,Temporada,1610612758,16
2020 - 2021,Temporada,1610612759,30
2020 - 2021,Temporada,1610612761,31
2020 - 2021,Temporada,1610612762,32
2020 - 2021,Temporada,1610612764,33
2021 - 2022,Temporada,1610612737,14
2021 - 2022,Temporada,1610612738,46
2021 - 2022,Temporada,1610612751,40
2021 - 2022,Temporada,1610612741,24
2021 - 2022,Temporada,1610612766,6
2021 - 2022,Temporada,1610612739,17
2021 - 2022,Temporada,1610612742,47
2021 - 2022,Temporada,1610612743,10
2021 - 2022,Temporada,1610612765,11
2021 - 2022,Temporada,1610612744,12
2021 - 2022,Temporada,1610612745,41
2021 - 2022,Temporada,1610612754,9
2021 - 2022,Temporada,1610612746,7
2021 - 2022,Temporada,1610612747,36
2021 - 2022,Temporada,1610612763,37
2021 - 2022,Temporada,1610612748,18
2021 - 2022,Temporada,1610612749,19
2021 - 2022,Temporada,1610612750,43
2021 - 2022,Temporada,1610612740,48
2021 - 2022,Temporada,1610612752,20
2021 - 2022,Temporada,1610612760,45
2021 - 2022,Temporada,1610612753,49
2021 - 2022,Temporada,1610612755,15
2021 - 2022,Temporada,1610612756,39
2021 - 2022,Temporada,1610612757,50
2021 - 2022,Temporada,1610612758,16
2021 - 2022,Temporada,1610612758,22
2021 - 2022,Temporada,1610612759,30
2021 - 2022,Temporada,1610612761,31
2021 - 2022,Temporada,1610612762,32
2021 - 2022,Temporada,1610612764,51
