periodoEvento,nombreEvento,nombrePremio,idEquipo
2018 - 2019,Temporada,Eastern Conference Finals,1610612761
2018 - 2019,Temporada,Western Conference Finals,1610612744
2018 - 2019,Temporada,NBA Finals,1610612761
2019 - 2020,Temporada,Eastern Conference Finals,1610612748
2019 - 2020,Temporada,Western Conference Finals,1610612747
2019 - 2020,Temporada,NBA Finals,1610612747
2020 - 2021,Temporada,Eastern Conference Finals,1610612756
2020 - 2021,Temporada,Western Conference Finals,1610612749
2020 - 2021,Temporada,NBA Finals,1610612749
2021 - 2022,Temporada,Eastern Conference Finals,1610612744
2021 - 2022,Temporada,Western Conference Finals,1610612738
2021 - 2022,Temporada,NBA Finals,1610612744
